Grade,Teacher ID,Studio ID,Class Size,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.,Total
4,E,18606716,23,95.65,91.3,91.3,86.96,100.0,100.0,100.0,100.0,91.3,78.26,93.48
5,C,18438402,25,100.0,80.0,80.0,68.0,92.0,88.0,88.0,84.0,84.0,80.0,84.4
5,E,18612630,26,100.0,96.15,96.15,96.15,100.0,92.31,92.31,92.31,92.31,84.62,94.23
5,G,19473881,1,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0
5,H,19413017,24,100.0,91.67,91.67,87.5,100.0,100.0,100.0,100.0,100.0,100.0,97.08
6,D,18411246,27,100.0,100.0,100.0,92.59,100.0,96.3,96.3,96.3,88.89,77.78,94.81
6,F,18636631,17,100.0,52.94,52.94,52.94,100.0,100.0,100.0,100.0,100.0,88.24,84.71
6,F,19401170,23,82.61,30.43,30.43,30.43,73.91,56.52,56.52,52.17,56.52,56.52,52.61
6,F,19408474,3,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,60.0
6,F,19414861,15,93.33,53.33,53.33,53.33,80.0,73.33,66.67,60.0,60.0,53.33,64.67
6,F,19440124,17,100.0,88.24,88.24,88.24,94.12,94.12,94.12,94.12,94.12,82.35,91.76
6,H,19422617,30,96.67,93.33,93.33,86.67,86.67,86.67,86.67,86.67,86.67,76.67,88.0
7,A,20135793,25,88.0,52.0,52.0,48.0,68.0,64.0,60.0,64.0,60.0,52.0,60.8
7,B,18403432,27,96.3,40.74,40.74,33.33,59.26,55.56,51.85,51.85,44.44,37.04,51.11
7,B,18605729,29,100.0,55.17,55.17,48.28,58.62,51.72,51.72,51.72,51.72,44.83,56.9
7,D,18429389,27,100.0,100.0,100.0,92.59,100.0,96.3,96.3,96.3,88.89,77.78,94.81
7,I,19460127,22,100.0,9.09,9.09,9.09,4.55,4.55,4.55,4.55,4.55,4.55,15.45
7,J,19445716,19,94.74,10.53,10.53,5.26,15.79,10.53,10.53,10.53,5.26,5.26,17.89
8,D,18276915,23,100.0,100.0,95.65,95.65,100.0,100.0,100.0,95.65,95.65,82.61,96.52
8,I,19448597,16,100.0,25.0,25.0,25.0,18.75,18.75,18.75,18.75,18.75,12.5,28.12
