Grade,Teacher ID,Studio ID,Class Size,Student ID,Score,Out of,Percentage
4,E,18607820,27,24pandacorn24,9,9,1.0
4,E,18607820,27,2oo1sgr8,9,9,1.0
4,E,18607820,27,adastra28,8,9,0.89
4,E,18607820,27,birds605,9,9,1.0
4,E,18607820,27,blaze703570,9,9,1.0
4,E,18607820,27,catsareawesome789,9,9,1.0
4,E,18607820,27,christmas3000,9,9,1.0
4,E,18607820,27,clover7777,8,9,0.89
4,E,18607820,27,cs13267001,3,9,0.33
4,E,18607820,27,doggys332,7,9,0.78
4,E,18607820,27,dolphin7600,7,9,0.78
4,E,18607820,27,flyingunicorn2468,7,9,0.78
4,E,18607820,27,influxmaster21,5,9,0.56
4,E,18607820,27,kingasparta35,9,9,1.0
4,E,18607820,27,kittygirl1257,8,9,0.89
4,E,18607820,27,kittyqueen231,7,9,0.78
4,E,18607820,27,luckystargirl09,4,9,0.44
4,E,18607820,27,panda48000,9,9,1.0
4,E,18607820,27,penguin88835,7,9,0.78
4,E,18607820,27,raspberry2000,5,9,0.56
4,E,18607820,27,redbirdmoney3,5,9,0.56
4,E,18607820,27,redhero59,9,9,1.0
4,E,18607820,27,schoolno3411,8,9,0.89
4,E,18607820,27,shark730,9,9,1.0
4,E,18607820,27,tigergirl1156,5,9,0.56
4,E,18607820,27,turtleshavetails123,7,9,0.78
4,E,18607820,27,unicorn5087,9,9,1.0
5,C,18439663,24,402lab,6,9,0.67
5,C,18439663,24,grayscratchencore1,7,9,0.78
5,C,18439663,24,grayscratchencore10,9,9,1.0
5,C,18439663,24,grayscratchencore13,7,9,0.78
5,C,18439663,24,grayscratchencore14,7,9,0.78
5,C,18439663,24,grayscratchencore15,7,9,0.78
5,C,18439663,24,grayscratchencore16,7,9,0.78
5,C,18439663,24,grayscratchencore17,9,9,1.0
5,C,18439663,24,grayscratchencore18,5,9,0.56
5,C,18439663,24,grayscratchencore2,9,9,1.0
5,C,18439663,24,grayscratchencore20,7,9,0.78
5,C,18439663,24,grayscratchencore21,9,9,1.0
5,C,18439663,24,grayscratchencore22,9,9,1.0
5,C,18439663,24,grayscratchencore23,7,9,0.78
5,C,18439663,24,grayscratchencore26,7,9,0.78
5,C,18439663,24,grayscratchencore27,6,9,0.67
5,C,18439663,24,grayscratchencore28,7,9,0.78
5,C,18439663,24,grayscratchencore3,7,9,0.78
5,C,18439663,24,grayscratchencore4,9,9,1.0
5,C,18439663,24,grayscratchencore5,7,9,0.78
5,C,18439663,24,grayscratchencore6,7,9,0.78
5,C,18439663,24,grayscratchencore7,7,9,0.78
5,C,18439663,24,grayscratchencore8,7,9,0.78
5,C,18439663,24,grayscratchencore9,9,9,1.0
5,E,18613583,29,5thLRG1,9,9,1.0
5,E,18613583,29,5thLRG10,9,9,1.0
5,E,18613583,29,5thLRG11,5,9,0.56
5,E,18613583,29,5thLRG12,7,9,0.78
5,E,18613583,29,5thLRG13,9,9,1.0
5,E,18613583,29,5thLRG14,4,9,0.44
5,E,18613583,29,5thLRG15,9,9,1.0
5,E,18613583,29,5thLRG16,9,9,1.0
5,E,18613583,29,5thLRG18,8,9,0.89
5,E,18613583,29,5thLRG19,9,9,1.0
5,E,18613583,29,5thLRG2,9,9,1.0
5,E,18613583,29,5thLRG20,8,9,0.89
5,E,18613583,29,5thLRG21,5,9,0.56
5,E,18613583,29,5thLRG22,6,9,0.67
5,E,18613583,29,5thLRG23,8,9,0.89
5,E,18613583,29,5thLRG24,7,9,0.78
5,E,18613583,29,5thLRG25,5,9,0.56
5,E,18613583,29,5thLRG26,9,9,1.0
5,E,18613583,29,5thLRG27,7,9,0.78
5,E,18613583,29,5thLRG28,7,9,0.78
5,E,18613583,29,5thLRG29,6,9,0.67
5,E,18613583,29,5thLRG3,7,9,0.78
5,E,18613583,29,5thLRG30,5,9,0.56
5,E,18613583,29,5thLRG31,5,9,0.56
5,E,18613583,29,5thLRG4,5,9,0.56
5,E,18613583,29,5thLRG5,7,9,0.78
5,E,18613583,29,5thLRG6,7,9,0.78
5,E,18613583,29,5thLRG8,7,9,0.78
5,E,18613583,29,5thLRG9,8,9,0.89
5,H,19413475,28,10mgpoe301,5,9,0.56
5,H,19413475,28,11pgpoe301,5,9,0.56
5,H,19413475,28,12cgpoe301,7,9,0.78
