ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
24pandacorn24,0,1,1,0,0
2oo1sgr8,0,1,1,1,1
birds605,0,1,1,1,0
blaze703570,0,1,1,1,1
catsareawesome789,0,1,1,1,1
christmas3000,0,1,1,1,1
clover7777,0,1,1,1,1
doggys332,0,0,0,0,0
dolphin7600,0,1,1,1,1
iloveschool1000,0,0,0,0,0
influxmaster21,0,1,1,1,1
kingasparta35,0,1,1,1,1
kittygirl1257,0,1,1,1,1
kittyqueen231,0,1,1,1,1
luckystargirl09,0,1,1,1,1
panda48000,0,1,1,1,1
raspberry2000,0,1,1,1,1
redbirdmoney3,0,1,1,1,1
redhero59,0,1,1,1,1
schoolno3411,0,1,1,1,1
tigergirl1156,0,1,1,1,1
turtleshavetails123,0,1,1,1,0
unicorn5087,0,1,1,1,1
