ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
grayscratchencore10,0,1,1,1,1
grayscratchencore11,0,1,1,0,1
grayscratchencore12,0,0,0,0,1
grayscratchencore13,0,1,1,1,1
grayscratchencore14,0,1,1,1,0
grayscratchencore15,0,0,0,0,0
grayscratchencore16,0,0,0,0,0
grayscratchencore17,0,1,1,1,1
grayscratchencore18,0,1,1,1,1
grayscratchencore19,0,0,0,0,1
grayscratchencore2,0,1,1,1,1
grayscratchencore20,0,0,0,0,0
grayscratchencore21,0,1,1,1,0
grayscratchencore22,0,1,1,1,1
grayscratchencore23,0,0,0,0,1
grayscratchencore24,0,1,1,0,0
grayscratchencore26,0,1,1,1,1
grayscratchencore27,0,1,1,1,1
grayscratchencore3,0,1,1,1,1
grayscratchencore4,0,1,1,1,1
grayscratchencore5,0,1,1,1,1
grayscratchencore6,0,1,1,1,1
grayscratchencore7,0,1,1,1,1
grayscratchencore8,0,1,1,1,1
grayscratchencore9,0,1,1,1,1
