ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
10mgpoe301,0,1,1,1,1
11pgpoe301,0,1,1,1,1
12cgpoe301,0,0,0,0,1
13agpoe301,0,1,1,1,1
14zhpoe301,0,1,1,1,1
15whpoe301,0,1,1,1,1
16klpoe301,0,1,1,1,1
17ampoe301,0,1,1,1,1
18bmpoe301,0,1,1,0,1
19mmpoe301,0,1,1,1,1
1mapoe301,0,1,1,1,1
20smpoe301,0,1,1,1,1
21mppoe301,0,1,1,1,1
22jppoe301,0,1,1,1,1
23erpoe301,0,0,0,0,1
24lrpoe301,0,1,0,1,1
26ispoe301,0,1,1,1,1
2aapoe301,0,1,1,1,1
3kapoe301,0,1,1,1,1
4pbpoe301,0,1,1,1,0
5ccpoe301,0,1,1,1,1
6aepoe301,0,1,1,1,1
7cepoe301,0,1,1,1,1
9kgpoe301,0,1,1,1,1
