ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
15JCL216,0,0,0,0,1
16JCL216,0,1,1,1,1
19JCL216,0,1,1,1,1
1JCL216,0,1,1,1,1
22JCL216,0,1,1,1,1
23JCL216,0,0,0,0,0
26JCL216,0,1,1,1,1
27JCL216,0,1,1,1,1
28JCL216,0,0,0,0,1
29JCL216,0,1,1,1,1
2JCL216,0,0,0,0,1
32JCL216,0,0,0,0,1
3JCL216,0,1,1,1,1
5JCL216,0,0,0,0,1
7JCL216,0,0,0,0,0
8JCL216,0,0,0,0,1
9JCL216,0,1,1,1,1
