ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
Awesome21326,0,0,0,0,0
BABRAKABRA,0,1,1,1,1
Crazy0000,0,1,1,1,1
DrCrooked,0,0,0,0,1
Dragonballz23,0,0,0,0,0
EB1290,0,0,0,0,0
MaRvelMeME21,0,0,0,0,0
OmegaLUL-123,0,1,1,1,1
PatrickStar091,0,0,0,0,1
RamenDire,0,1,1,1,1
RamenNoodleMan09,0,1,1,1,1
Reyos21,0,1,1,1,1
Unique_girl36,0,0,0,0,0
VlogerfromYT,0,1,1,1,1
WolfyTech19,0,1,1,0,1
astoria27,0,0,0,0,0
diepphi,0,0,0,0,0
fantastic18,0,1,1,1,1
jerrymouse021,0,0,0,0,0
lukeaqua9,0,1,1,1,1
mcbook,0,1,1,1,0
myfortnitegrind,0,1,1,1,1
soccer17Ab,0,0,0,0,0
steezykane123,0,0,0,0,0
toxicthunder13,0,0,0,0,0
