ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
coderkid224,0,0,0,0,0
coderkid225,0,1,1,0,0
coderkid226,0,1,1,1,0
coderkid227,0,0,0,0,0
coderkid228,0,0,0,0,0
coderkid229,0,0,0,0,0
coderkid231,0,0,0,0,0
coderkid235,0,0,0,0,0
coderkid236,0,0,0,0,0
coderkid237,0,0,0,0,0
coderkid239,0,0,0,0,0
coderkid240,0,0,0,0,0
coderkid242,0,0,0,0,0
coderkid243,0,0,0,0,0
coderkid245,0,0,0,0,0
coderkid249,0,0,0,0,0
coderkid250,0,0,0,0,0
coderkid255,0,0,0,0,0
coderkid256,0,0,0,0,0
