ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
115H1,0,1,1,1,1
115H10,0,1,1,1,1
115H11,0,1,1,1,1
115H15,0,1,1,1,1
115H16,0,1,1,1,1
115H17,0,1,1,1,1
115H18,0,1,1,1,1
115H2,0,1,1,1,1
115H21,0,1,1,1,0
115H22,0,1,1,1,0
115H23,0,1,1,1,1
115H24,0,1,1,1,1
115H25,0,1,1,1,1
115H26,0,1,1,1,1
115H27,0,1,1,1,1
115H28,0,1,0,0,0
115H29,0,1,1,1,1
115H3,0,1,1,1,1
115H4,0,1,1,1,1
115H5,0,1,1,1,1
115H6,0,1,1,1,1
115H8,0,1,1,1,1
115H9,0,1,1,1,1
