ID,Error grading project,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.
Bell01B,0,0,0,0,0
Carey03B,0,0,0,0,0
Concepcion04B,0,0,0,0,0
Donley05B,0,0,0,0,0
Holmes09B,0,0,0,0,0
Hutchinson11B,0,0,0,0,0
JStewart22B,0,0,0,0,0
LJohnson12B,0,0,0,0,0
MJohnson13B,0,1,1,1,1
Phillips17B,0,1,1,1,0
Ramos19B,0,0,0,0,0
Robertson20B,0,0,0,0,0
Robinson21B,0,0,0,0,0
TJones15B,0,1,1,1,1
tfleming06b,0,0,0,0,0
vivertte24b,0,0,0,0,0
