Grade,Teacher ID,Studio ID,Class Size,0,1,2,3,4
7,J,19445716,19,17,0,1,1,0
7,D,18429389,27,0,0,2,5,20
7,A,20135793,25,11,2,0,2,10
7,B,18403432,27,14,4,3,0,6
7,I,19460127,22,22,0,0,0,0
7,B,18605729,29,12,2,3,1,11
6,F,19440124,17,1,2,0,2,12
6,F,19408474,3,0,3,0,0,0
6,F,18636631,17,2,6,0,0,9
6,F,19414861,15,7,2,0,0,6
6,H,19422617,30,4,0,0,4,22
6,D,18411246,27,0,0,2,5,20
6,F,19401170,23,10,7,0,0,6
8,I,19448597,16,13,0,0,1,2
8,D,18276915,23,0,1,0,2,20
4,E,18606716,23,2,0,1,2,18
5,G,19473881,1,1,0,0,0,0
5,H,19413017,24,0,2,0,3,19
5,E,18612630,26,1,1,1,3,20
5,C,18438402,25,3,3,1,3,15
