Grade,Teacher ID,Studio ID,Class Size,Both Snake and Bee have an event block for the down arrow.,Both Snake and Bee switch costumes on the down arrow.,Both Snake and Bee have a wait block on down arrow.,Bug fixed: both Snake and Bee finish the race when the space bar is pressed.,Total
7,J,19445716,19,10.53,10.53,5.26,0.0,6.58
7,D,18429389,27,100.0,100.0,92.59,74.07,91.67
7,A,20135793,25,48.0,48.0,44.0,52.0,48.0
7,B,18403432,27,33.33,33.33,22.22,37.04,31.48
7,I,19460127,22,0.0,0.0,0.0,0.0,0.0
7,B,18605729,29,51.72,51.72,41.38,44.83,47.41
6,F,19440124,17,82.35,82.35,82.35,82.35,82.35
6,F,19408474,3,0.0,0.0,0.0,100.0,25.0
6,F,18636631,17,52.94,52.94,52.94,88.24,61.76
6,F,19414861,15,40.0,40.0,40.0,53.33,43.33
6,H,19422617,30,86.67,86.67,80.0,80.0,83.33
6,D,18411246,27,100.0,100.0,92.59,74.07,91.67
6,F,19401170,23,26.09,26.09,26.09,56.52,33.7
8,I,19448597,16,18.75,18.75,18.75,12.5,17.19
8,D,18276915,23,100.0,95.65,95.65,86.96,94.57
4,E,18606716,23,91.3,91.3,86.96,78.26,86.96
5,G,19473881,1,0.0,0.0,0.0,0.0,0.0
5,H,19413017,24,91.67,87.5,87.5,95.83,90.62
5,E,18612630,26,92.31,92.31,80.77,88.46,88.46
5,C,18438402,25,76.0,76.0,68.0,76.0,74.0
