ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
402lab,0,1,1,1,0,1
grayscratchencore1,0,1,1,1,1,0
grayscratchencore10,0,1,1,1,1,0
grayscratchencore13,0,1,1,1,1,1
grayscratchencore14,0,1,1,1,1,0
grayscratchencore15,0,1,1,1,1,0
grayscratchencore16,0,1,1,1,1,0
grayscratchencore17,0,1,1,1,1,0
grayscratchencore18,0,1,1,0,0,1
grayscratchencore2,0,1,1,1,1,1
grayscratchencore20,0,1,1,1,1,0
grayscratchencore21,0,1,1,1,1,1
grayscratchencore22,0,1,1,1,1,1
grayscratchencore23,0,1,1,1,1,0
grayscratchencore26,0,1,1,1,1,0
grayscratchencore27,0,1,1,1,1,0
grayscratchencore28,0,1,1,1,1,0
grayscratchencore3,0,1,1,1,1,0
grayscratchencore4,0,1,1,1,1,1
grayscratchencore5,0,1,1,1,1,0
grayscratchencore6,0,1,1,1,1,0
grayscratchencore7,0,1,1,1,1,0
grayscratchencore8,0,1,1,1,1,1
grayscratchencore9,0,1,1,1,1,1
