ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
5thLRG1,0,1,1,1,1,1
5thLRG10,0,1,1,1,1,0
5thLRG11,0,1,1,0,0,0
5thLRG12,0,1,1,1,1,0
5thLRG13,0,1,1,1,1,1
5thLRG14,0,1,1,0,0,0
5thLRG15,0,1,1,1,1,1
5thLRG16,0,1,1,1,1,1
5thLRG18,0,1,1,1,0,1
5thLRG19,0,1,1,1,1,1
5thLRG2,0,1,1,1,1,1
5thLRG20,0,1,1,1,0,1
5thLRG21,0,1,1,0,0,0
5thLRG22,0,1,1,1,1,0
5thLRG23,0,1,1,1,1,1
5thLRG24,0,1,1,1,1,0
5thLRG25,0,1,1,1,0,0
5thLRG26,0,1,1,1,1,1
5thLRG27,0,1,1,1,1,0
5thLRG28,0,1,1,0,0,1
5thLRG29,0,1,1,1,1,0
5thLRG3,0,1,1,0,0,1
5thLRG30,0,1,1,1,0,0
5thLRG31,0,1,1,1,0,0
5thLRG4,0,1,1,1,0,0
5thLRG5,0,1,1,1,1,0
5thLRG6,0,1,1,0,0,1
5thLRG8,0,1,1,0,0,1
5thLRG9,0,1,1,1,0,1
