ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
11JCL06,0,1,1,1,1,0
13JCL06,0,1,1,1,1,0
14JCL06,0,1,1,1,0,1
16JCL06,0,1,1,1,1,0
17JCL06,0,1,1,1,1,0
19JCL06,0,1,1,1,0,0
20JCL06,0,1,1,1,0,0
21JCL06,0,1,1,1,1,0
22JCL06,0,1,1,1,1,0
23JCL06,0,1,1,0,0,0
24JCL06,0,1,1,1,1,0
25JCL06,0,1,1,0,0,0
26JCL06,0,1,1,1,1,0
27JCL06,0,1,1,0,0,0
28JCL06,0,1,1,0,0,0
29JCL06,0,1,1,1,1,0
2JCL06,0,1,1,1,1,0
31JCL06,0,1,1,1,1,1
4JCL06,0,1,0,1,0,0
6JCL06,0,1,1,1,1,0
7JCL06,0,1,1,1,1,0
8JCL06,0,1,1,1,1,0
9JCL06,0,1,1,1,1,0
