ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
10nipoe303,0,1,1,1,1,0
11cjpoe303,0,1,1,1,1,1
12skpoe303,0,1,1,1,1,1
13ampoe303,0,1,1,1,1,1
14ampoe303,0,1,1,1,1,1
15bmpoe303,0,1,1,0,0,1
16mnpoe303,0,1,1,0,0,0
17znpoe303,0,1,1,1,1,0
18eopoe303,0,1,1,1,1,0
19zppoe303,0,1,1,1,1,1
1oapoe303,0,1,1,1,1,1
20aspoe303,0,1,1,1,1,1
21nspoe303,0,1,1,1,1,1
22lspoe303,0,1,1,1,1,1
23bspoe303,0,1,1,1,1,1
25atpoe303,0,1,1,1,1,0
26ctpoe303,0,1,1,1,1,1
27awpoe303,0,1,1,1,1,1
28mwpoe303,0,1,1,1,1,0
29awpoe303,0,1,1,1,0,1
2bbpoe303,0,1,1,0,0,0
30mwpoe303,0,1,1,0,0,0
3sbpoe303,0,1,1,1,1,1
4mcpoe303,0,1,1,1,1,1
5mcpoe303,0,1,1,1,1,0
6mcpoe303,0,1,1,0,0,0
7jepoe303,0,1,1,1,1,1
8bgpoe303,0,1,1,1,1,1
9tgpoe303,0,1,1,1,1,0
