ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
coderkid224,0,1,0,0,0,0
coderkid225,0,1,1,1,1,1
coderkid226,0,1,1,1,0,0
coderkid227,0,1,1,1,0,0
coderkid229,0,1,1,1,1,1
coderkid231,0,1,1,0,0,0
coderkid232,0,1,1,0,0,1
coderkid235,0,1,1,0,0,0
coderkid236,0,1,1,0,0,0
coderkid239,0,1,1,1,0,1
coderkid240,0,1,1,1,0,0
coderkid241,0,1,1,0,0,0
coderkid242,0,1,1,1,0,0
coderkid244,0,1,0,0,0,0
coderkid245,0,1,0,0,0,0
coderkid247,0,1,1,0,0,0
coderkid248,0,1,0,0,0,0
coderkid250,0,1,0,0,0,0
coderkid251,0,1,1,0,0,0
coderkid256,0,1,1,0,0,0
