ID,Error grading project,Background has an image.,There are at least 3 sprites.,A sprite is animated in place.,A second sprite is animated in place.,A different sprite is animated while moving.
Bell01B,0,1,1,0,0,0
Carey03B,0,1,1,0,0,0
Concepcion04B,0,1,1,0,0,0
Foreman07B,0,1,1,1,1,1
Hawkins08B,0,1,1,1,0,1
Holmes09B,0,1,1,0,0,1
Hutchinson11B,0,1,1,1,0,0
JStewart22B,0,1,1,1,1,0
LJohnson12B,0,1,1,0,0,0
MJohnson13B,0,1,1,1,1,0
Pryor18B,0,1,1,0,0,0
Ramos19B,0,1,1,0,0,0
Robertson20B,0,1,1,1,0,0
Robinson21B,0,1,1,0,0,0
ScratchEncorePD2018,0,1,1,0,0,0
TJones15B,0,1,1,1,1,0
TThomas23B,0,1,1,1,1,0
Viverette24B,0,1,1,1,1,0
Williams26B,0,1,1,0,0,0
tfleming06b,0,1,1,0,0,0
