Grade,Teacher ID,Studio ID,Class Size,Student ID,Score,Out of,Percentage
7,I,19461736,19,Alexander01M,2,5,0.4
7,I,19461736,19,Bass02M,2,5,0.4
7,I,19461736,19,Cardoso03M,5,5,1.0
7,I,19461736,19,Christon04M,2,5,0.4
7,I,19461736,19,Fenner07M,3,5,0.6
7,I,19461736,19,Fisher08M,4,5,0.8
7,I,19461736,19,Foster24M,2,5,0.4
7,I,19461736,19,Grayso09M,4,5,0.8
7,I,19461736,19,Griffin10M,2,5,0.4
7,I,19461736,19,Johnson25M,2,5,0.4
7,I,19461736,19,Nelson13M,2,5,0.4
7,I,19461736,19,Norris22m,2,5,0.4
7,I,19461736,19,Reed14M,2,5,0.4
7,I,19461736,19,Royal15M,2,5,0.4
7,I,19461736,19,ScratchEncorePD2018,2,5,0.4
7,I,19461736,19,Seymour16M,4,5,0.8
7,I,19461736,19,Stewart17M,5,5,1.0
7,I,19461736,19,Talley18M,2,5,0.4
7,I,19461736,19,holland11M,2,5,0.4
7,B,18403415,24,RC7A1,2,5,0.4
7,B,18403415,24,RC7A10,4,5,0.8
7,B,18403415,24,RC7A11,3,5,0.6
7,B,18403415,24,RC7A12,2,5,0.4
7,B,18403415,24,RC7A14,2,5,0.4
7,B,18403415,24,RC7A15,4,5,0.8
7,B,18403415,24,RC7A16,2,5,0.4
7,B,18403415,24,RC7A17,3,5,0.6
7,B,18403415,24,RC7A18,4,5,0.8
7,B,18403415,24,RC7A19,2,5,0.4
7,B,18403415,24,RC7A20,4,5,0.8
7,B,18403415,24,RC7A23,3,5,0.6
7,B,18403415,24,RC7A24,2,5,0.4
7,B,18403415,24,RC7A25,2,5,0.4
7,B,18403415,24,RC7A26,2,5,0.4
7,B,18403415,24,RC7A27,3,5,0.6
7,B,18403415,24,RC7A28,3,5,0.6
7,B,18403415,24,RC7A3,2,5,0.4
7,B,18403415,24,RC7A31,4,5,0.8
7,B,18403415,24,RC7A32,4,5,0.8
7,B,18403415,24,RC7A4,2,5,0.4
7,B,18403415,24,RC7A7,2,5,0.4
7,B,18403415,24,RC7A8,3,5,0.6
7,B,18403415,24,RC7A9,2,5,0.4
7,A,20140106,16,Awesome21326,5,5,1.0
7,A,20140106,16,Crazy0000,2,5,0.4
7,A,20140106,16,DrCrooked,5,5,1.0
7,A,20140106,16,Dragonballz23,4,5,0.8
7,A,20140106,16,EB1290,3,5,0.6
7,A,20140106,16,OmegaLUL-123,4,5,0.8
7,A,20140106,16,PatrickStar091,2,5,0.4
7,A,20140106,16,RamenNoodleMan09,5,5,1.0
7,A,20140106,16,Reyos21,4,5,0.8
7,A,20140106,16,VlogerfromYT,3,5,0.6
7,A,20140106,16,WolfyTech19,4,5,0.8
7,A,20140106,16,astoria27,2,5,0.4
7,A,20140106,16,fantastic18,4,5,0.8
7,A,20140106,16,lukeaqua9,5,5,1.0
7,A,20140106,16,myfortnitegrind,5,5,1.0
7,A,20140106,16,steezykane123,2,5,0.4
7,D,18429685,29,113H1,5,5,1.0
7,D,18429685,29,113H10,2,5,0.4
7,D,18429685,29,113H11,3,5,0.6
7,D,18429685,29,113H12,5,5,1.0
7,D,18429685,29,113H13,5,5,1.0
7,D,18429685,29,113H14,5,5,1.0
7,D,18429685,29,113H15,3,5,0.6
7,D,18429685,29,113H16,5,5,1.0
7,D,18429685,29,113H17,4,5,0.8
7,D,18429685,29,113H18,4,5,0.8
7,D,18429685,29,113H19,5,5,1.0
7,D,18429685,29,113H2,2,5,0.4
7,D,18429685,29,113H20,4,5,0.8
7,D,18429685,29,113H21,3,5,0.6
7,D,18429685,29,113H22,4,5,0.8
7,D,18429685,29,113H23,2,5,0.4
7,D,18429685,29,113H24,3,5,0.6
7,D,18429685,29,113H25,4,5,0.8
7,D,18429685,29,113H26,5,5,1.0
7,D,18429685,29,113H27,4,5,0.8
7,D,18429685,29,113H28,2,5,0.4
7,D,18429685,29,113H29,2,5,0.4
7,D,18429685,29,113H3,5,5,1.0
7,D,18429685,29,113H4,5,5,1.0
7,D,18429685,29,113H5,5,5,1.0
7,D,18429685,29,113H6,5,5,1.0
7,D,18429685,29,113H7,4,5,0.8
7,D,18429685,29,113H9,5,5,1.0
7,D,18429685,29,msboyd114,2,5,0.4
7,B,18607854,26,RC7B1,2,5,0.4
7,B,18607854,26,RC7B10,2,5,0.4
7,B,18607854,26,RC7B12,3,5,0.6
7,B,18607854,26,RC7B13,4,5,0.8
7,B,18607854,26,RC7B15,2,5,0.4
7,B,18607854,26,RC7B16,2,5,0.4
7,B,18607854,26,RC7B17,2,5,0.4
7,B,18607854,26,RC7B18,4,5,0.8
7,B,18607854,26,RC7B19,4,5,0.8
7,B,18607854,26,RC7B2,2,5,0.4
7,B,18607854,26,RC7B20,4,5,0.8
7,B,18607854,26,RC7B21,2,5,0.4
7,B,18607854,26,RC7B23,2,5,0.4
7,B,18607854,26,RC7B24,2,5,0.4
7,B,18607854,26,RC7B25,2,5,0.4
7,B,18607854,26,RC7B26,2,5,0.4
7,B,18607854,26,RC7B27,2,5,0.4
7,B,18607854,26,RC7B28,2,5,0.4
7,B,18607854,26,RC7B29,5,5,1.0
7,B,18607854,26,RC7B3,2,5,0.4
7,B,18607854,26,RC7B31,2,5,0.4
7,B,18607854,26,RC7B5,2,5,0.4
7,B,18607854,26,RC7B6,3,5,0.6
7,B,18607854,26,RC7B7,2,5,0.4
7,B,18607854,26,RC7B8,2,5,0.4
7,B,18607854,26,RC7B9,4,5,0.8
7,J,19445746,20,coderkid224,1,5,0.2
7,J,19445746,20,coderkid225,5,5,1.0
7,J,19445746,20,coderkid226,3,5,0.6
7,J,19445746,20,coderkid227,3,5,0.6
7,J,19445746,20,coderkid229,5,5,1.0
7,J,19445746,20,coderkid231,2,5,0.4
7,J,19445746,20,coderkid232,3,5,0.6
7,J,19445746,20,coderkid235,2,5,0.4
7,J,19445746,20,coderkid236,2,5,0.4
7,J,19445746,20,coderkid239,4,5,0.8
7,J,19445746,20,coderkid240,3,5,0.6
7,J,19445746,20,coderkid241,2,5,0.4
7,J,19445746,20,coderkid242,3,5,0.6
7,J,19445746,20,coderkid244,1,5,0.2
7,J,19445746,20,coderkid245,1,5,0.2
7,J,19445746,20,coderkid247,2,5,0.4
7,J,19445746,20,coderkid248,1,5,0.2
7,J,19445746,20,coderkid250,1,5,0.2
7,J,19445746,20,coderkid251,2,5,0.4
7,J,19445746,20,coderkid256,2,5,0.4
6,G,19473499,1,lorctechja1,5,5,1.0
6,F,19415654,23,11JCL06,4,5,0.8
6,F,19415654,23,13JCL06,4,5,0.8
6,F,19415654,23,14JCL06,4,5,0.8
6,F,19415654,23,16JCL06,4,5,0.8
6,F,19415654,23,17JCL06,4,5,0.8
6,F,19415654,23,19JCL06,3,5,0.6
6,F,19415654,23,20JCL06,3,5,0.6
6,F,19415654,23,21JCL06,4,5,0.8
6,F,19415654,23,22JCL06,4,5,0.8
6,F,19415654,23,23JCL06,2,5,0.4
6,F,19415654,23,24JCL06,4,5,0.8
6,F,19415654,23,25JCL06,2,5,0.4
6,F,19415654,23,26JCL06,4,5,0.8
6,F,19415654,23,27JCL06,2,5,0.4
6,F,19415654,23,28JCL06,2,5,0.4
6,F,19415654,23,29JCL06,4,5,0.8
6,F,19415654,23,2JCL06,4,5,0.8
6,F,19415654,23,31JCL06,5,5,1.0
6,F,19415654,23,4JCL06,2,5,0.4
6,F,19415654,23,6JCL06,4,5,0.8
6,F,19415654,23,7JCL06,4,5,0.8
6,F,19415654,23,8JCL06,4,5,0.8
6,F,19415654,23,9JCL06,4,5,0.8
6,D,18411516,29,114H1,5,5,1.0
6,D,18411516,29,114H10,4,5,0.8
6,D,18411516,29,114H11,5,5,1.0
6,D,18411516,29,114H12,5,5,1.0
6,D,18411516,29,114H13,5,5,1.0
6,D,18411516,29,114H14,3,5,0.6
6,D,18411516,29,114H15,5,5,1.0
6,D,18411516,29,114H16,4,5,0.8
6,D,18411516,29,114H17,4,5,0.8
6,D,18411516,29,114H18,4,5,0.8
6,D,18411516,29,114H2,4,5,0.8
6,D,18411516,29,114H20,3,5,0.6
6,D,18411516,29,114H21,5,5,1.0
6,D,18411516,29,114H22,2,5,0.4
6,D,18411516,29,114H23,3,5,0.6
6,D,18411516,29,114H24,4,5,0.8
6,D,18411516,29,114H25,5,5,1.0
6,D,18411516,29,114H26,4,5,0.8
6,D,18411516,29,114H27,5,5,1.0
6,D,18411516,29,114H28,4,5,0.8
6,D,18411516,29,114H29,4,5,0.8
6,D,18411516,29,114H3,4,5,0.8
6,D,18411516,29,114H4,5,5,1.0
6,D,18411516,29,114H5,2,5,0.4
6,D,18411516,29,114H6,3,5,0.6
6,D,18411516,29,114H7,2,5,0.4
6,D,18411516,29,114H8,4,5,0.8
6,D,18411516,29,114H9,5,5,1.0
6,D,18411516,29,msboyd114,2,5,0.4
6,H,19424240,29,10nipoe303,4,5,0.8
6,H,19424240,29,11cjpoe303,5,5,1.0
6,H,19424240,29,12skpoe303,5,5,1.0
6,H,19424240,29,13ampoe303,5,5,1.0
6,H,19424240,29,14ampoe303,5,5,1.0
6,H,19424240,29,15bmpoe303,3,5,0.6
6,H,19424240,29,16mnpoe303,2,5,0.4
6,H,19424240,29,17znpoe303,4,5,0.8
6,H,19424240,29,18eopoe303,4,5,0.8
6,H,19424240,29,19zppoe303,5,5,1.0
6,H,19424240,29,1oapoe303,5,5,1.0
6,H,19424240,29,20aspoe303,5,5,1.0
6,H,19424240,29,21nspoe303,5,5,1.0
6,H,19424240,29,22lspoe303,5,5,1.0
6,H,19424240,29,23bspoe303,5,5,1.0
6,H,19424240,29,25atpoe303,4,5,0.8
6,H,19424240,29,26ctpoe303,5,5,1.0
6,H,19424240,29,27awpoe303,5,5,1.0
6,H,19424240,29,28mwpoe303,4,5,0.8
6,H,19424240,29,29awpoe303,4,5,0.8
6,H,19424240,29,2bbpoe303,2,5,0.4
6,H,19424240,29,30mwpoe303,2,5,0.4
6,H,19424240,29,3sbpoe303,5,5,1.0
6,H,19424240,29,4mcpoe303,5,5,1.0
6,H,19424240,29,5mcpoe303,4,5,0.8
6,H,19424240,29,6mcpoe303,2,5,0.4
6,H,19424240,29,7jepoe303,5,5,1.0
6,H,19424240,29,8bgpoe303,5,5,1.0
6,H,19424240,29,9tgpoe303,4,5,0.8
6,F,18637934,3,13JCL216,5,5,1.0
6,F,18637934,3,29JCL216,3,5,0.6
6,F,18637934,3,5JCL216,2,5,0.4
6,F,19440612,5,16JCL220,4,5,0.8
6,F,19440612,5,19JCL220,4,5,0.8
6,F,19440612,5,21JCL220,4,5,0.8
6,F,19440612,5,24JCL220,4,5,0.8
6,F,19440612,5,31JCL220,4,5,0.8
6,G,19472819,1,LorcTecMR2,1,5,0.2
8,D,18400379,24,115H1,5,5,1.0
8,D,18400379,24,115H10,5,5,1.0
8,D,18400379,24,115H11,2,5,0.4
8,D,18400379,24,115H12,2,5,0.4
8,D,18400379,24,115H14,4,5,0.8
8,D,18400379,24,115H15,4,5,0.8
8,D,18400379,24,115H16,5,5,1.0
8,D,18400379,24,115H17,4,5,0.8
8,D,18400379,24,115H18,5,5,1.0
8,D,18400379,24,115H2,4,5,0.8
8,D,18400379,24,115H21,3,5,0.6
8,D,18400379,24,115H23,5,5,1.0
8,D,18400379,24,115H25,2,5,0.4
8,D,18400379,24,115H26,4,5,0.8
8,D,18400379,24,115H27,4,5,0.8
8,D,18400379,24,115H28,4,5,0.8
8,D,18400379,24,115H29,2,5,0.4
8,D,18400379,24,115H3,4,5,0.8
8,D,18400379,24,115H4,4,5,0.8
8,D,18400379,24,115H5,5,5,1.0
8,D,18400379,24,115H6,5,5,1.0
8,D,18400379,24,115H7,5,5,1.0
8,D,18400379,24,115H8,5,5,1.0
8,D,18400379,24,115H9,2,5,0.4
8,I,19449165,20,Bell01B,2,5,0.4
8,I,19449165,20,Carey03B,2,5,0.4
8,I,19449165,20,Concepcion04B,2,5,0.4
8,I,19449165,20,Foreman07B,5,5,1.0
8,I,19449165,20,Hawkins08B,4,5,0.8
8,I,19449165,20,Holmes09B,3,5,0.6
8,I,19449165,20,Hutchinson11B,3,5,0.6
8,I,19449165,20,JStewart22B,4,5,0.8
8,I,19449165,20,LJohnson12B,2,5,0.4
8,I,19449165,20,MJohnson13B,4,5,0.8
8,I,19449165,20,Pryor18B,2,5,0.4
8,I,19449165,20,Ramos19B,2,5,0.4
