ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
grayscratchencore10,0,1,1,1,1
grayscratchencore11,0,1,1,1,1
grayscratchencore12,0,1,1,0,0
grayscratchencore13,0,1,1,1,1
grayscratchencore14,0,1,1,0,1
grayscratchencore16,0,1,1,0,1
grayscratchencore17,0,1,0,1,1
grayscratchencore19,0,1,0,0,1
grayscratchencore2,0,1,1,0,1
grayscratchencore20,0,1,1,0,0
grayscratchencore22,0,1,1,1,1
grayscratchencore23,0,1,1,0,0
grayscratchencore25,0,1,1,0,1
grayscratchencore26,0,1,0,0,1
grayscratchencore27,0,1,1,0,1
grayscratchencore28,0,1,0,0,0
grayscratchencore3,0,1,1,1,1
grayscratchencore4,0,1,1,1,1
grayscratchencore5,0,1,1,1,1
grayscratchencore6,0,1,1,1,1
grayscratchencore7,0,1,1,1,1
grayscratchencore8,0,1,1,1,1
grayscratchencore9,0,1,0,0,0
