ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
12cgpoe301,0,1,1,1,1
13agpoe301,0,0,1,1,1
14zhpoe301,0,1,0,0,0
15whpoe301,0,1,1,1,1
16klpoe301,0,0,1,0,1
17ampoe301,0,1,1,1,1
18bmpoe301,0,1,1,1,1
19mmpoe301,0,1,1,1,1
1mapoe301,0,1,0,0,1
20smpoe301,0,1,1,1,1
21mppoe301,0,1,0,0,0
22jppoe301,0,1,1,1,1
23erpoe301,0,1,1,0,1
24lrpoe301,0,1,1,1,1
26ispoe301,0,0,1,0,1
27ewpoe301,0,0,1,1,1
2aapoe301,0,1,1,1,1
5ccpoe301,0,1,1,0,1
