ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
114H1,0,1,1,1,0
114H10,0,1,1,1,1
114H11,0,1,1,1,1
114H12,0,1,1,0,1
114H13,0,1,1,0,1
114H14,0,1,1,0,0
114H15,0,0,0,1,1
114H16,0,1,1,0,0
114H17,0,1,1,1,1
114H18,0,1,1,1,1
114H2,0,1,1,0,1
114H20,0,1,1,1,1
114H21,0,1,1,1,1
114H22,0,1,1,0,1
114H23,0,1,1,1,1
114H24,0,0,0,0,0
114H25,0,1,1,0,1
114H26,0,1,1,1,1
114H27,0,1,1,0,1
114H28,0,1,0,0,0
114H29,0,1,1,1,1
114H3,0,1,1,1,1
114H4,0,0,1,0,0
114H5,0,1,1,0,1
114H6,0,1,1,1,1
114H7,0,0,1,0,0
114H8,0,1,1,0,1
114H9,0,1,1,1,1
