ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
10JCL06,0,1,1,0,1
11JCL06,0,0,1,0,0
13JCL06,0,1,1,0,1
16JCL06,0,0,1,0,0
17JCL06,0,0,1,0,1
19JCL06,0,0,1,0,1
20JCL06,0,0,1,1,1
21JCL06,0,0,0,1,0
22JCL06,0,1,1,0,0
23JCL06,0,0,1,0,0
24JCL06,0,0,1,0,1
25JCL06,0,0,1,0,1
27JCL06,0,0,1,0,1
2JCL06,0,0,1,0,1
30JCL06,0,0,0,0,1
31JCL06,0,1,1,0,0
32JCL06,0,0,1,0,1
4JCL06,0,0,1,0,0
5JCL06,0,1,1,0,1
7JCL06,0,1,0,0,1
8JCL06,0,0,1,0,1
9JCL06,0,0,1,0,1
