ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
Awesome21326,0,0,0,0,0
Crazy0000,0,1,0,0,0
DrCrooked,0,1,1,1,1
Dragonballz23,0,0,0,0,0
EB1290,0,0,0,0,0
OmegaLUL-123,0,0,1,1,1
PatrickStar091,0,0,0,1,0
RamenDire,0,0,1,0,1
RamenNoodleMan09,0,1,1,1,1
Reyos21,0,1,1,1,1
VlogerfromYT,0,1,1,1,1
WolfyTech19,0,0,1,0,1
astoria27,0,0,1,0,1
diepphi,0,1,1,1,1
fantastic18,0,1,1,1,1
lukeaqua9,0,1,1,1,1
mcbook,0,1,1,1,0
soccer17Ab,0,0,0,0,1
