ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
RC7A10,0,1,1,0,1
RC7A12,0,1,1,0,1
RC7A13,0,1,1,1,1
RC7A16,0,1,1,0,1
RC7A17,0,1,1,1,1
RC7A18,0,1,1,0,1
RC7A19,0,1,1,0,1
RC7A2,0,1,1,1,1
RC7A20,0,1,1,0,1
RC7A23,0,1,1,0,1
RC7A24,0,1,1,1,1
RC7A27,0,1,1,0,0
RC7A28,0,1,1,1,1
RC7A3,0,1,1,0,1
RC7A30,0,1,1,1,1
RC7A31,0,1,1,0,1
RC7A32,0,1,1,1,1
RC7A4,0,1,1,1,1
RC7A5,0,0,0,0,0
RC7A7,0,0,0,0,0
RC7A8,0,1,1,0,1
RC7A9,0,1,1,1,1
