ID,Error grading project,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.
Alexander01M,0,1,1,1,0
Bass02M,0,1,1,1,1
Cardoso03M,0,1,1,1,1
Christon04M,0,1,1,1,1
Cross05M,0,1,1,1,1
Engleking06M,0,1,1,1,0
Fenner07M,0,0,1,0,1
Fisher08M,0,0,0,0,0
Foster24M,0,0,1,1,0
Grayso09M,0,1,1,1,1
Griffin10M,0,1,1,1,1
Nelson13M,0,1,1,1,0
Norris22m,0,1,1,1,1
Royal15M,0,0,0,0,0
Seymour16M,0,1,1,0,1
Stewart17M,0,1,1,1,1
Talley18M,0,0,0,0,1
Tucker21M,0,1,1,1,1
Whaley20M,0,1,1,1,1
holland11M,0,1,1,0,1
