Grade,Teacher ID,Studio ID,Class Size,0,1,2,3,4
7,A,20142200,18,3,3,3,2,7
7,J,19445954,5,2,0,2,1,0
7,B,18404581,22,2,0,1,10,9
7,I,19462202,20,2,1,2,5,10
7,B,18608976,26,2,3,4,11,6
7,D,18431151,29,0,1,3,12,13
6,F,19440849,9,3,2,3,1,0
6,D,18411847,28,1,3,3,9,12
6,H,19441740,26,0,0,4,9,13
6,F,19417026,22,0,6,12,4,0
6,F,18639455,9,2,3,4,0,0
6,F,19403511,13,6,1,5,1,0
8,D,18400636,24,0,1,9,12,2
8,I,19449914,11,1,2,2,3,3
5,E,18637284,21,1,2,4,4,10
5,G,19468192,1,0,0,0,0,1
5,C,18445765,23,0,2,5,6,10
5,H,19413876,18,0,2,3,4,9
