Grade,Teacher ID,Studio ID,Class Size,Car's costume has been changed.,Car stops at something other than the stop sign.,Car says something after it stops.,Changed the speed of the car.,Total
7,A,20142200,18,50.0,66.67,55.56,66.67,59.72
7,J,19445954,5,40.0,40.0,0.0,60.0,35.0
7,B,18404581,22,90.91,90.91,40.91,86.36,77.27
7,I,19462202,20,75.0,85.0,70.0,70.0,75.0
7,B,18608976,26,76.92,73.08,38.46,73.08,65.38
7,D,18431151,29,93.1,96.55,48.28,89.66,81.9
6,F,19440849,9,33.33,33.33,0.0,55.56,30.56
6,D,18411847,28,85.71,89.29,50.0,75.0,75.0
6,H,19441740,26,88.46,84.62,65.38,96.15,83.65
6,F,19417026,22,27.27,86.36,9.09,68.18,47.73
6,F,18639455,9,0.0,66.67,0.0,55.56,30.56
6,F,19403511,13,15.38,46.15,7.69,38.46,26.92
8,D,18400636,24,83.33,62.5,29.17,87.5,65.62
8,I,19449914,11,81.82,45.45,36.36,81.82,61.36
5,E,18637284,21,85.71,85.71,61.9,61.9,73.81
5,G,19468192,1,100.0,100.0,100.0,100.0,100.0
5,C,18445765,23,100.0,78.26,47.83,78.26,76.09
5,H,19413876,18,77.78,83.33,61.11,88.89,77.78
