ID,Error grading project,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion
5thLRG1,0,1,1,1
5thLRG10,0,1,1,1
5thLRG12,0,0,0,0
5thLRG13,0,1,1,1
5thLRG14,1,,,
5thLRG15,1,,,
5thLRG16,0,1,0,1
5thLRG18,0,0,0,0
5thLRG19,0,1,0,1
5thLRG2,0,1,1,1
5thLRG20,0,1,1,0
5thLRG21,1,,,
5thLRG22,0,1,1,1
5thLRG23,0,1,1,1
5thLRG24,1,,,
5thLRG25,1,,,
5thLRG26,0,0,0,0
5thLRG27,1,,,
5thLRG28,0,0,0,0
5thLRG29,0,0,0,0
5thLRG3,0,1,1,0
5thLRG30,0,0,0,0
5thLRG5,0,1,1,1
5thLRG6,1,,,
5thLRG8,1,,,
5thLRG9,0,1,1,1
