ID,Error grading project,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion
114H1,0,1,1,1
114H10,0,0,0,0
114H11,0,1,1,1
114H12,0,1,1,1
114H13,0,0,0,0
114H14,0,1,1,1
114H15,1,,,
114H16,0,0,0,0
114H17,0,1,1,1
114H18,0,1,0,1
114H2,0,0,0,0
114H20,0,1,1,1
114H21,0,0,0,0
114H22,1,,,
114H23,0,1,0,0
114H24,1,,,
114H25,0,1,1,1
114H26,0,0,0,0
114H27,0,0,0,0
114H28,0,0,0,0
114H29,0,1,0,1
114H4,0,1,1,1
114H5,1,,,
114H6,0,1,1,1
114H7,0,0,0,0
114H8,0,1,1,1
114H9,0,1,1,1
msboyd114,0,0,0,0
