ID,Error grading project,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion
10JCL210,0,0,0,0
11JCL210,0,0,0,0
13JCL210,0,0,0,0
14JCL210,1,,,
16JCL210,0,1,0,1
18JCL210,0,0,0,0
1JCL210,0,0,0,0
20JCL210,0,0,0,0
25JCL210,0,0,0,0
27JCL210,0,0,0,0
28JCL210,0,0,0,0
30JCL210,0,0,0,0
31JCL210,0,0,0,0
32JCL210,0,0,0,0
33JCL210,0,0,0,0
3JCL210,0,0,0,0
4JCL210,0,0,0,0
5JCL210,0,0,0,0
6JCL210,1,,,
7JCL210,0,0,0,0
