ID,Error grading project,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion
Awesome21326,0,0,0,0
BABRAKABRA,0,0,0,0
DrCrooked,0,0,0,0
Dragonballz23,0,1,1,1
EB1290,1,,,
OmegaLUL-123,0,1,1,1
PatrickStar091,0,1,1,1
RamenDire,0,1,1,1
RamenNoodleMan09,1,,,
Reyos21,0,1,1,1
VlogerfromYT,0,0,1,1
WolfyTech19,0,1,1,1
astoria27,0,0,0,0
diepphi,0,0,0,0
fantastic18,0,1,0,1
lukeaqua9,0,1,1,1
mcbook,0,0,0,0
soccer17Ab,0,0,0,0
steezykane123,1,,,
