ID,Error grading project,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion
RC7B1,0,0,0,0
RC7B10,0,0,0,0
RC7B11,0,0,0,0
RC7B12,0,0,0,0
RC7B14,0,0,0,0
RC7B15,0,0,0,0
RC7B16,0,0,0,0
RC7B17,1,,,
RC7B18,1,,,
RC7B19,1,,,
RC7B2,0,0,0,0
RC7B20,1,,,
RC7B21,1,,,
RC7B24,0,0,0,0
RC7B25,0,0,0,0
RC7B26,1,,,
RC7B28,0,0,0,0
RC7B29,0,1,0,1
RC7B3,0,0,0,0
RC7B31,0,0,0,0
RC7B5,0,0,0,0
RC7B6,0,1,0,1
RC7B8,0,0,0,0
RC7B9,0,0,1,1
