ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
2oo1sgr8,0,1,1,1,1
adastra28,0,1,1,1,1
basketballfan1000,0,0,0,0,0
birds605,0,1,1,1,1
blaze703570,0,1,1,0,1
catsareawesome789,0,1,1,1,1
christmas3000,0,1,1,1,1
clover7777,0,1,1,1,1
doggys332,0,1,1,1,1
flyingunicorn2468,0,1,0,0,0
kingasparta35,0,1,1,1,1
kittyqueen231,0,1,1,1,1
luckystargirl09,0,1,0,0,0
panda48000,0,1,0,0,0
penguin88835,0,1,1,1,1
raspberry2000,0,1,1,1,1
redbirdmoney3,0,1,0,0,0
redhero59,0,1,1,1,1
schoolno3411,0,0,0,0,0
shark730,0,1,1,1,1
tigergirl1156,0,1,1,1,0
turtleshavetails123,0,1,1,1,1
unicorn5087,0,1,1,0,1
