ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
402lab,0,0,0,0,0
grayscratchencore1,0,1,1,1,1
grayscratchencore10,0,1,0,0,0
grayscratchencore11,0,0,0,0,0
grayscratchencore12,0,1,1,1,0
grayscratchencore13,0,1,1,1,1
grayscratchencore14,0,1,0,0,0
grayscratchencore15,0,1,0,0,0
grayscratchencore16,0,1,0,0,0
grayscratchencore17,0,1,1,1,0
grayscratchencore18,0,1,0,0,0
grayscratchencore19,0,0,0,0,0
grayscratchencore2,0,1,1,0,0
grayscratchencore20,0,1,0,0,0
grayscratchencore21,0,1,1,1,0
grayscratchencore22,0,1,0,0,0
grayscratchencore23,0,1,1,1,1
grayscratchencore24,0,1,1,1,1
grayscratchencore26,0,1,0,0,0
grayscratchencore27,0,0,0,0,0
grayscratchencore28,0,0,0,0,0
grayscratchencore3,0,1,0,0,0
grayscratchencore4,0,1,0,0,0
grayscratchencore5,0,1,1,0,0
grayscratchencore6,0,0,0,0,0
grayscratchencore7,0,1,0,0,0
grayscratchencore8,0,0,1,1,1
grayscratchencore9,0,1,1,1,1
