ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
10mgpoe301,0,0,0,0,0
11pgpoe301,0,0,0,0,0
12cgpoe301,0,0,0,0,0
13agpoe301,0,0,0,0,0
14zhpoe301,0,1,1,1,1
16klpoe301,0,1,0,0,0
17ampoe301,0,1,1,1,1
18bmpoe301,0,0,0,0,0
19mmpoe301,0,1,0,0,0
1mapoe301,0,1,1,1,1
20smpoe301,0,1,0,0,0
21mppoe301,0,1,1,1,1
22jppoe301,0,1,1,1,1
23erpoe301,0,1,1,0,0
25aspoe301,0,1,1,1,1
27ewpoe301,0,0,0,0,0
2aapoe301,0,0,0,0,0
3kapoe301,0,1,1,1,1
4pbpoe301,0,0,0,0,0
5ccpoe301,0,1,0,0,0
6aepoe301,0,0,0,0,0
7cepoe301,0,1,0,0,0
9kgpoe301,0,1,1,0,0
Poe10538,0,1,0,0,0
