ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
10JCL210,0,1,1,1,1
11JCL210,0,1,1,1,1
12JCL210,0,1,1,1,1
13JCL210,0,1,1,0,0
14JCL210,0,1,1,1,1
16JCL210,0,0,0,0,0
17JCL210,0,1,1,0,0
18JCL210,0,1,1,0,1
1JCL210,0,1,1,0,1
20JCL210,0,1,1,1,1
23JCL210,0,1,1,1,1
25JCL210,0,0,0,0,0
26JCL210,0,1,1,1,1
27JCL210,0,0,1,0,0
28JCL210,0,0,1,0,0
2JCL210,0,1,1,1,1
30JCL210,0,1,1,1,1
31JCL210,0,1,1,1,0
32JCL210,0,1,1,1,1
3JCL210,0,1,1,1,1
6JCL210,0,1,0,0,0
7JCL210,0,1,0,0,0
8JCL210,0,1,0,0,0
9JCL210,0,1,1,1,1
