ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
115H1,0,1,1,1,1
115H10,0,1,1,1,1
115H11,0,1,1,1,1
115H16,0,1,1,1,0
115H17,0,1,1,1,1
115H18,0,0,0,0,0
115H2,0,1,0,0,0
115H20,0,1,1,0,0
115H21,0,1,1,1,0
115H22,0,1,0,0,0
115H23,0,1,1,1,0
115H25,0,0,0,0,0
115H26,0,1,1,1,1
115H27,0,1,1,0,1
115H28,0,0,0,0,0
115H29,0,1,1,1,0
115H3,0,1,1,1,1
115H4,0,1,1,1,0
115H5,0,1,1,0,1
115H6,0,1,1,1,1
115H7,0,1,1,1,1
115H8,0,1,0,0,0
115H9,0,1,1,1,1
msboyd114,0,1,1,1,1
