Grade,Teacher ID,Studio ID,Class Size,0,1,2,3,4
7,A,19850319,19,9,1,1,4,4
7,B,18598010,29,21,3,1,1,3
7,B,18604396,29,22,2,1,1,3
7,D,18429044,28,5,1,5,7,10
7,I,19458318,17,10,2,1,2,2
6,F,19407641,4,0,3,0,1,0
6,H,19417322,30,2,4,0,6,18
6,F,19411715,29,5,6,4,5,9
6,F,19399885,24,2,5,2,3,12
6,D,18404603,29,9,3,1,9,7
6,F,18634925,21,7,2,0,6,6
6,F,19426686,22,1,3,2,5,11
8,D,18268610,24,3,3,1,7,10
8,I,19448013,19,11,3,0,2,3
4,E,18445271,23,2,4,0,3,14
5,E,18611553,30,1,7,2,4,16
5,C,18405470,28,6,11,2,4,5
5,H,19411824,24,9,6,2,0,7
5,G,19469082,1,0,0,0,0,1
