Grade,Teacher ID,Studio ID,Class Size,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.,Total
7,A,19850319,19,52.63,47.37,36.84,26.32,40.79
7,B,18598010,29,27.59,17.24,13.79,10.34,17.24
7,B,18604396,29,24.14,17.24,10.34,13.79,16.38
7,D,18429044,28,82.14,78.57,42.86,53.57,64.29
7,I,19458318,17,35.29,29.41,17.65,23.53,26.47
6,F,19407641,4,100.0,25.0,0.0,25.0,37.5
6,H,19417322,30,93.33,80.0,73.33,66.67,78.33
6,F,19411715,29,82.76,62.07,34.48,44.83,56.03
6,F,19399885,24,83.33,79.17,54.17,58.33,68.75
6,D,18404603,29,68.97,58.62,27.59,51.72,51.72
6,F,18634925,21,66.67,57.14,38.1,47.62,52.38
6,F,19426686,22,95.45,81.82,54.55,68.18,75.0
8,D,18268610,24,87.5,75.0,62.5,50.0,68.75
8,I,19448013,19,42.11,26.32,21.05,21.05,27.63
4,E,18445271,23,91.3,73.91,65.22,69.57,75.0
5,E,18611553,30,96.67,73.33,63.33,56.67,72.5
5,C,18405470,28,75.0,39.29,32.14,21.43,41.96
5,H,19411824,24,62.5,37.5,29.17,29.17,39.58
5,G,19469082,1,100.0,100.0,100.0,100.0,100.0
