ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
11JCL220,0,1,1,1,0,0,1,0,0,0
13JCL220,0,1,0,0,0,0,0,0,0,0
15JCL220,0,1,0,0,0,0,0,0,0,0
16JCL220,0,1,1,1,1,0,1,1,0,0
18JCL220,0,1,1,0,0,0,0,0,0,0
1JCL220,0,1,1,0,0,0,0,0,0,0
21JCL220,0,1,0,1,0,0,1,0,0,0
24JCL220,0,1,1,0,0,0,0,0,0,0
25JCL220,0,1,0,1,0,0,1,0,0,0
26JCL220,0,1,1,1,1,1,1,1,1,1
27JCL220,0,1,0,0,0,0,0,0,0,0
29JCL220,0,1,1,0,0,0,0,0,0,0
2JCL220,0,1,0,0,0,0,0,0,0,0
30JCL220,0,1,0,0,0,0,0,0,0,0
31JCL220,0,1,1,0,0,0,0,0,0,0
33JCL220,0,1,0,0,0,0,0,0,0,0
34JCL220,0,1,1,1,1,0,1,1,0,0
7JCL220,0,1,0,0,0,0,0,0,0,0
8JCL220,0,1,1,1,1,1,1,1,1,0
9JCL220,0,1,1,1,0,0,1,0,0,0
