ID,Error grading project,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked
402lab,0,1,1,1,1,0,1,0,0,0
grayscratchencore1,0,1,1,1,0,0,0,0,0,0
grayscratchencore10,0,1,1,1,1,1,1,1,1,0
grayscratchencore12,0,1,1,1,1,0,0,0,0,0
grayscratchencore13,0,1,1,0,0,0,0,0,0,0
grayscratchencore14,0,0,0,0,0,0,0,0,0,0
grayscratchencore15,0,0,0,0,0,0,0,0,0,0
grayscratchencore16,0,0,0,0,1,0,0,0,0,0
grayscratchencore17,0,0,0,0,1,0,0,0,0,0
grayscratchencore19,0,1,1,1,1,0,1,1,0,0
grayscratchencore2,0,1,1,1,1,1,1,1,0,0
grayscratchencore20,0,1,1,1,1,0,1,1,1,0
grayscratchencore21,0,1,1,1,1,1,1,1,1,1
grayscratchencore22,0,1,1,1,1,0,0,0,0,0
grayscratchencore24,0,0,0,0,1,0,0,0,0,0
grayscratchencore25,0,0,0,1,1,0,0,0,0,0
grayscratchencore26,0,1,0,0,1,0,0,0,0,0
grayscratchencore3,0,1,1,1,1,0,0,0,0,0
grayscratchencore4,0,0,0,0,1,0,0,0,0,0
grayscratchencore6,0,1,1,1,1,0,0,0,0,0
grayscratchencore7,0,0,0,0,1,0,0,0,0,0
grayscratchencore8,0,0,0,0,1,0,0,0,0,0
grayscratchencore9,0,0,0,0,1,0,0,0,0,0
