ID,Error grading project,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked
5thLRG1,0,1,1,1,0,0,0,0,0,0
5thLRG10,0,1,1,1,0,0,0,0,0,0
5thLRG13,0,1,1,1,0,0,0,0,0,0
5thLRG14,0,0,0,0,0,0,0,0,0,0
5thLRG18,0,1,1,1,0,0,0,0,0,0
5thLRG19,0,1,1,1,1,1,1,1,1,1
5thLRG2,0,1,1,1,1,1,1,1,1,1
5thLRG20,0,0,0,0,1,0,0,0,0,0
5thLRG21,0,0,0,0,1,0,0,0,0,0
5thLRG22,0,1,1,1,0,0,0,0,0,0
5thLRG23,0,1,1,1,1,1,1,1,1,1
5thLRG24,0,1,1,1,0,0,0,0,0,0
5thLRG30,0,1,1,1,1,1,1,1,1,1
5thLRG31,0,0,0,0,0,0,0,0,0,0
Bluesteel_Gamz,0,1,0,1,0,0,0,0,0,0
