ID,Error grading project,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked
10mgpoe301,0,0,1,1,1,1,1,1,1,1
11pgpoe301,0,0,1,1,1,1,1,1,1,1
12cgpoe301,0,1,1,1,1,1,1,1,1,1
13agpoe301,0,1,1,1,1,0,1,1,1,1
14zhpoe301,0,0,1,1,1,1,1,1,1,1
15whpoe301,0,1,1,1,1,1,1,1,1,1
16klpoe301,0,1,1,1,1,0,0,0,0,0
17ampoe301,0,1,1,1,1,1,1,1,1,1
18bmpoe301,0,1,1,1,1,0,0,0,0,0
19mmpoe301,0,0,0,0,1,0,0,0,0,0
1mapoe301,0,0,0,0,0,0,0,0,0,0
20smpoe301,0,0,0,0,1,0,0,0,0,0
21mppoe301,0,0,0,0,0,0,0,0,0,0
22jppoe301,0,1,1,1,1,0,1,1,1,0
23erpoe301,0,1,0,1,1,0,0,0,0,0
24lrpoe301,0,1,1,1,1,1,1,1,1,1
25aspoe301,0,0,0,0,0,0,0,0,0,0
26ispoe301,0,0,0,0,0,0,0,0,0,0
27ewpoe301,0,0,0,0,0,0,0,0,0,0
28twpoe301,0,0,0,0,0,0,0,0,0,0
3kapoe301,0,1,0,1,1,0,0,0,0,0
4pbpoe301,0,0,0,0,1,0,0,0,0,0
5ccpoe301,0,1,1,1,1,0,1,1,1,0
6aepoe301,0,1,1,1,1,0,1,1,1,0
7cepoe301,0,1,1,1,1,1,1,1,1,1
8vfpoe301,0,1,1,0,1,0,0,0,0,0
9kgpoe301,0,1,1,0,1,1,1,1,1,1
