ID,Error grading project,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked
11cjpoe303,0,1,1,1,1,0,0,0,0,0
14ampoe303,0,1,1,1,1,0,0,0,0,0
15bmpoe303,0,1,1,1,1,0,1,1,1,0
16mnpoe303,0,1,1,1,0,0,0,0,0,0
18eopoe303,0,0,0,0,0,0,0,0,0,0
20aspoe303,0,1,1,1,1,0,1,1,0,0
21nspoe303,0,0,0,0,0,0,0,0,0,0
22lspoe303,0,0,0,0,0,0,0,0,0,0
24nspoe303,0,0,0,0,0,0,0,0,0,0
25atpoe303,0,0,0,0,0,0,0,0,0,0
27awpoe303,0,0,0,0,1,0,0,0,0,0
29awpoe303,0,1,1,1,1,1,1,1,1,1
2bbpoe303,0,1,1,1,1,0,1,1,0,0
4mcpoe303,0,0,0,0,1,0,0,0,0,0
7jepoe303,0,1,1,1,0,0,0,0,0,0
8bgpoe303,0,1,1,1,0,0,0,0,0,0
