ID,Error grading project,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked
113H1,0,0,0,0,1,0,0,0,0,0
113H10,0,0,0,0,0,0,0,0,0,0
113H11,0,0,0,0,1,0,0,0,0,0
113H12,0,1,1,1,1,1,1,1,1,1
113H13,0,0,0,0,0,0,0,0,0,0
113H14,0,1,1,1,0,0,0,0,0,0
113H15,0,1,1,1,0,0,0,0,0,0
113H17,0,1,1,1,1,1,1,1,1,1
113H18,0,1,1,1,0,0,0,0,0,0
113H19,0,1,1,1,1,0,0,0,0,0
113H2,0,0,0,0,0,0,0,0,0,0
113H20,0,1,0,0,1,1,1,1,1,1
113H21,0,0,0,0,0,0,0,0,0,0
113H22,0,0,0,0,0,0,0,0,0,0
113H23,0,1,1,1,0,0,0,0,0,0
113H24,0,0,0,0,0,0,0,0,0,0
113H25,0,0,0,0,1,0,0,0,0,0
113H26,0,1,1,1,0,1,1,1,1,1
113H27,0,1,1,1,0,0,1,1,0,0
113H28,0,0,0,0,0,0,0,0,0,0
113H29,0,1,1,1,1,1,1,1,1,1
113H3,0,0,0,0,1,0,0,0,0,0
113H4,0,0,0,0,1,0,0,0,0,0
113H5,0,0,0,0,0,0,0,0,0,0
113H6,0,1,1,1,1,1,1,1,1,1
113H7,0,0,0,1,0,0,0,0,0,0
113H9,0,1,1,1,1,0,1,1,0,0
