Grade,Teacher ID,Studio ID,Class Size,Djembe passes unique message to Mali child,"When Djembe is clicked, Djembe plays music","When Djembe is clicked, Mali child dances",Start button sprite created,Start button passes the same message to all other sprites,A sprite plays or dances when the start button is clicked,Another sprite plays or dances when the start button is clicked,A third sprite plays or dances when the start button is clicked,A fourth sprite plays or dances when the start button is clicked,Total
5,C,18599709,23,56.52,52.17,52.17,82.61,13.04,26.09,21.74,13.04,4.35,35.75
5,E,18637939,15,73.33,66.67,73.33,40.0,26.67,26.67,26.67,26.67,26.67,42.96
5,H,19414831,27,55.56,59.26,59.26,77.78,33.33,48.15,48.15,48.15,37.04,51.85
6,D,18427212,28,85.71,85.71,85.71,39.29,21.43,28.57,25.0,21.43,21.43,46.03
6,F,19422201,24,66.67,75.0,62.5,33.33,0.0,20.83,4.17,4.17,0.0,29.63
6,H,19442820,16,56.25,56.25,56.25,50.0,6.25,25.0,25.0,12.5,6.25,32.64
7,A,18266750,7,85.71,85.71,85.71,42.86,0.0,28.57,28.57,14.29,14.29,42.86
7,B,18405480,19,42.11,42.11,42.11,10.53,5.26,5.26,5.26,5.26,5.26,18.13
7,B,18630602,17,47.06,47.06,47.06,5.88,0.0,0.0,0.0,0.0,0.0,16.34
7,D,18444068,27,48.15,44.44,48.15,44.44,22.22,29.63,29.63,22.22,22.22,34.57
8,D,18403132,24,66.67,70.83,70.83,25.0,20.83,25.0,25.0,25.0,20.83,38.89
