ID,Error grading project,Project has a backdrop,Five sprites created,One sprite sends a broadcast,Message received by sprite 1 and sprite does something,Message received by sprite 2 and sprite does something,Message received by sprite 3 and sprite does something,Message received by sprite 4 and sprite does something
MaRvelMeME21,0,1,0,0,0,0,0,0
OmegaLUL-123,0,1,1,1,1,1,1,1
RamenNoodleMan09,0,1,1,1,1,1,1,1
Reyos21,0,1,1,1,1,1,1,1
VlogerfromYT,0,1,0,1,1,1,1,0
WolfyTech19,0,1,0,1,1,1,1,0
astoria27,0,1,0,0,0,0,0,0
fantastic18,0,1,1,1,1,1,1,1
lukeaqua9,0,0,1,1,1,1,1,1
soccer17Ab,0,1,1,0,0,0,0,0
