ID,Error grading project,Project has a backdrop,Five sprites created,One sprite sends a broadcast,Message received by sprite 1 and sprite does something,Message received by sprite 2 and sprite does something,Message received by sprite 3 and sprite does something,Message received by sprite 4 and sprite does something
115H1,0,1,1,1,1,1,1,1
115H10,0,1,1,0,0,0,0,0
115H11,0,1,1,1,1,1,1,1
115H12,0,1,1,1,1,1,1,1
115H15,0,1,1,1,1,1,1,1
115H16,0,1,1,1,1,1,1,1
115H17,0,1,1,1,1,1,1,1
115H18,0,1,1,1,1,1,1,0
115H2,0,1,1,1,1,1,1,1
115H21,0,1,1,1,1,1,1,1
115H22,0,0,1,1,1,1,1,1
115H25,0,0,1,1,1,1,1,1
115H26,0,1,1,1,0,0,0,0
115H27,0,1,1,1,1,0,0,0
115H28,0,0,1,1,1,1,1,1
115H29,0,1,1,1,1,1,1,1
115H3,0,1,1,1,1,1,1,1
115H4,0,1,1,1,1,1,1,1
115H5,0,1,1,1,1,1,1,1
115H6,0,1,0,1,1,1,1,1
115H8,0,1,1,1,1,1,1,1
