Grade,Teacher ID,Studio ID,Class Size,Student ID,Score,Out of,Percentage
5,C,18600360,27,402lab,6,7,0.86
5,C,18600360,27,grayscratchencore1,7,7,1.0
5,C,18600360,27,grayscratchencore10,7,7,1.0
5,C,18600360,27,grayscratchencore11,7,7,1.0
5,C,18600360,27,grayscratchencore12,6,7,0.86
5,C,18600360,27,grayscratchencore13,7,7,1.0
5,C,18600360,27,grayscratchencore14,6,7,0.86
5,C,18600360,27,grayscratchencore16,7,7,1.0
5,C,18600360,27,grayscratchencore17,7,7,1.0
5,C,18600360,27,grayscratchencore19,5,7,0.71
5,C,18600360,27,grayscratchencore2,7,7,1.0
5,C,18600360,27,grayscratchencore20,6,7,0.86
5,C,18600360,27,grayscratchencore21,7,7,1.0
5,C,18600360,27,grayscratchencore22,7,7,1.0
5,C,18600360,27,grayscratchencore23,5,7,0.71
5,C,18600360,27,grayscratchencore24,5,7,0.71
5,C,18600360,27,grayscratchencore25,7,7,1.0
5,C,18600360,27,grayscratchencore26,3,7,0.43
5,C,18600360,27,grayscratchencore27,4,7,0.57
5,C,18600360,27,grayscratchencore28,2,7,0.29
5,C,18600360,27,grayscratchencore3,7,7,1.0
5,C,18600360,27,grayscratchencore4,7,7,1.0
5,C,18600360,27,grayscratchencore5,5,7,0.71
5,C,18600360,27,grayscratchencore6,3,7,0.43
5,C,18600360,27,grayscratchencore7,7,7,1.0
5,C,18600360,27,grayscratchencore8,7,7,1.0
5,C,18600360,27,grayscratchencore9,7,7,1.0
6,D,18427879,28,114H1,6,7,0.86
6,D,18427879,28,114H10,7,7,1.0
6,D,18427879,28,114H11,5,7,0.71
6,D,18427879,28,114H12,7,7,1.0
6,D,18427879,28,114H13,2,7,0.29
6,D,18427879,28,114H14,7,7,1.0
6,D,18427879,28,114H15,7,7,1.0
6,D,18427879,28,114H16,3,7,0.43
6,D,18427879,28,114H17,7,7,1.0
6,D,18427879,28,114H18,6,7,0.86
6,D,18427879,28,114H2,7,7,1.0
6,D,18427879,28,114H20,7,7,1.0
6,D,18427879,28,114H21,7,7,1.0
6,D,18427879,28,114H22,7,7,1.0
6,D,18427879,28,114H23,7,7,1.0
6,D,18427879,28,114H24,7,7,1.0
6,D,18427879,28,114H25,7,7,1.0
6,D,18427879,28,114H26,7,7,1.0
6,D,18427879,28,114H27,7,7,1.0
6,D,18427879,28,114H28,5,7,0.71
6,D,18427879,28,114H29,7,7,1.0
6,D,18427879,28,114H3,7,7,1.0
6,D,18427879,28,114H4,7,7,1.0
6,D,18427879,28,114H5,2,7,0.29
6,D,18427879,28,114H6,7,7,1.0
6,D,18427879,28,114H7,4,7,0.57
6,D,18427879,28,114H8,7,7,1.0
