ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
grayscratchencore1,0,1,1,1,0,1,0
grayscratchencore10,0,1,1,1,1,1,0
grayscratchencore11,0,1,1,1,0,1,1
grayscratchencore12,0,1,1,1,0,1,0
grayscratchencore13,0,1,1,1,1,1,0
grayscratchencore14,0,1,1,1,1,1,1
grayscratchencore16,0,1,1,1,1,1,0
grayscratchencore17,0,1,1,1,1,1,1
grayscratchencore18,0,1,1,1,0,1,1
grayscratchencore19,0,1,1,1,1,0,0
grayscratchencore2,0,1,1,1,0,1,0
grayscratchencore20,0,1,1,1,1,1,0
grayscratchencore21,0,1,1,1,0,1,1
grayscratchencore23,0,1,1,1,0,1,1
grayscratchencore25,0,1,1,1,1,1,0
grayscratchencore26,0,1,1,1,1,1,1
grayscratchencore27,0,1,1,1,1,1,0
grayscratchencore28,0,1,1,1,1,1,0
grayscratchencore3,0,1,1,1,1,1,0
grayscratchencore4,0,1,1,1,1,1,1
grayscratchencore5,0,1,0,1,0,1,0
grayscratchencore6,0,1,1,1,0,1,0
grayscratchencore7,0,1,1,1,1,1,1
grayscratchencore8,0,1,1,1,1,1,0
grayscratchencore9,0,1,1,1,1,1,0
