ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
10nipoe303,0,1,1,1,1,1,0
11cjpoe303,0,1,1,1,1,1,1
12skpoe303,0,1,1,1,1,1,0
13ampoe303,0,1,1,1,1,1,1
14ampoe303,0,1,1,1,1,1,0
15bmpoe303,0,1,1,1,0,0,0
16mnpoe303,0,1,1,1,1,1,0
18eopoe303,0,1,1,1,0,1,1
19zppoe303,0,1,1,1,1,1,1
1oapoe303,0,1,1,1,1,1,0
20aspoe303,0,1,1,1,1,1,0
21nspoe303,0,1,1,1,1,1,1
22lspoe303,0,1,1,1,1,1,1
23bspoe303,0,1,1,1,1,1,1
24nspoe303,0,1,1,0,0,0,0
25atpoe303,0,1,1,1,0,1,0
26ctpoe303,0,1,1,1,1,1,0
28mwpoe303,0,1,1,1,1,0,0
29awpoe303,0,1,1,1,1,1,0
2bbpoe303,0,1,1,1,1,1,0
30mwpoe303,0,1,1,1,1,1,0
3sbpoe303,0,1,1,1,1,0,0
4mcpoe303,0,1,1,1,1,1,0
5mcpoe303,0,1,1,1,1,1,0
6mcpoe303,0,1,1,1,1,1,1
7jepoe303,0,1,1,1,1,1,0
8bgpoe303,0,1,1,1,1,1,0
9tgpoe303,0,1,1,1,1,1,0
