ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
Alexander01M,0,1,1,0,0,0,0
Bass02M,0,1,1,1,1,1,0
Cardoso03M,0,1,1,1,1,1,1
Christon04M,0,1,1,1,0,1,0
Cross05M,0,1,1,1,1,1,0
Engleking06M,0,1,1,1,0,1,0
Fenner07M,0,1,1,1,0,1,0
Fisher08M,0,1,1,1,1,1,1
Grayso09M,0,1,1,1,1,1,1
Griffin10M,0,1,1,1,1,1,0
Nelson13M,0,1,1,1,0,1,0
Reed14M,0,1,1,1,0,1,1
Royal15M,0,1,1,1,1,1,1
Seymour16M,0,1,1,1,0,1,0
Stewart17M,0,1,1,1,0,1,1
Vance19M,0,0,1,0,0,0,0
Whaley20M,0,1,1,1,1,1,1
alexanderb21m,0,1,1,0,0,0,0
holland11M,0,1,1,1,1,1,1
