ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
114H1,0,1,1,0,1
114H10,0,1,1,1,1
114H11,0,1,1,1,1
114H12,0,1,1,0,1
114H13,0,1,1,0,1
114H14,0,1,1,0,1
114H15,0,0,0,0,0
114H16,0,1,0,0,0
114H17,0,0,0,0,0
114H18,0,1,1,1,1
114H19,0,1,1,1,1
114H2,0,1,0,0,0
114H20,0,1,1,0,1
114H21,0,1,1,0,1
114H22,0,1,1,1,1
114H24,0,1,1,0,1
114H25,0,1,1,0,1
114H26,0,0,0,0,0
114H27,0,0,0,0,0
114H28,0,0,0,0,0
114H29,0,1,1,1,0
114H3,0,1,0,0,0
114H4,0,1,1,1,1
114H5,0,0,0,0,0
114H6,0,1,1,0,0
114H7,0,0,0,0,0
114H8,0,0,0,0,0
114H9,0,0,0,0,0
msboyd114,0,1,1,1,1
