ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
10nipoe303,0,1,1,1,1
11cjpoe303,0,1,1,1,1
12skpoe303,0,1,1,1,1
13ampoe303,0,1,1,0,1
14ampoe303,0,1,1,1,0
15bmpoe303,0,1,0,0,0
16mnpoe303,0,0,0,0,0
17znpoe303,0,1,1,1,1
18eopoe303,0,1,1,1,1
19zppoe303,0,1,1,1,1
1oapoe303,0,1,1,1,1
20aspoe303,0,1,1,1,0
21nspoe303,0,1,1,1,0
22lspoe303,0,1,0,0,0
23bspoe303,0,1,1,1,1
24nspoe303,0,1,1,1,1
25atpoe303,0,0,0,0,0
26ctpoe303,0,1,1,1,1
27awpoe303,0,1,1,1,1
28mwpoe303,0,1,1,1,1
29awpoe303,0,1,1,1,1
2bbpoe303,0,1,1,1,1
3sbpoe303,0,1,1,0,1
4mcpoe303,0,1,1,1,1
5mcpoe303,0,1,0,0,0
6mcpoe303,0,1,1,1,0
7jepoe303,0,1,1,1,1
8bgpoe303,0,1,1,1,1
9tgpoe303,0,1,1,1,1
Poe10538,0,1,0,0,0
