ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
Awesome21326,0,0,0,0,0
BABRAKABRA,0,0,0,0,0
Crazy0000,0,0,0,0,0
DrCrooked,0,0,0,0,0
Dragonballz23,0,0,0,0,0
EB1290,0,1,0,0,0
MANGO225678,0,0,0,0,0
OmegaLUL-123,0,0,0,0,0
PatrickStar091,0,1,1,0,0
RamenDire,0,0,0,0,0
RamenNoodleMan09,0,1,1,1,0
Reyos21,0,1,1,0,1
VlogerfromYT,0,1,1,1,1
WolfyTech19,0,1,1,1,1
astoria27,0,0,0,0,0
diepphi,0,1,1,1,1
fantastic18,0,1,1,1,0
lukeaqua9,0,1,1,1,1
myfortnitegrind,0,1,1,1,0
