ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
Bass02M,0,0,0,0,0
Christon04M,0,0,0,0,0
Cross05M,0,1,1,0,1
Engleking06M,0,0,0,0,0
Fenner07M,0,0,0,0,0
Fisher08M,0,1,1,1,0
Grayso09M,0,1,1,1,1
Griffin10M,0,1,1,1,1
Nelson13M,0,1,0,0,0
Norris22m,0,0,0,0,0
Reed14M,0,0,0,0,0
Seymour16M,0,0,0,0,0
Stewart17M,0,1,0,0,0
Talley18M,0,0,0,0,0
Vance19M,0,0,0,0,0
Whaley20M,0,0,0,0,0
holland11M,0,0,1,0,1
