ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
10JCL210,0,1,1,1,1,1,1,1,1,1
11JCL210,0,1,1,1,1,1,1,1,1,1
13JCL210,0,1,1,0,0,0,0,0,0,1
17JCL210,0,1,1,0,0,0,0,0,0,1
18JCL210,0,1,1,1,1,0,1,1,0,1
1JCL210,0,1,1,1,1,1,1,1,1,1
20JCL210,0,1,1,1,1,1,1,1,1,0
21JCL210,0,1,1,0,0,0,0,0,0,0
23JCL210,0,1,1,0,0,0,0,0,0,0
25JCL210,0,1,1,1,0,0,1,0,0,1
26JCL210,0,1,1,1,1,0,1,1,0,1
27JCL210,0,1,1,1,1,0,1,1,0,1
28JCL210,0,1,1,1,0,0,1,0,0,0
2JCL210,0,1,0,1,0,0,1,0,0,0
30JCL210,0,1,1,0,0,0,0,0,0,0
31JCL210,0,1,1,1,1,1,1,1,1,1
33JCL210,0,1,0,1,1,0,1,1,0,0
3JCL210,0,1,1,1,1,1,1,1,1,1
4JCL210,0,1,0,0,0,0,0,0,0,0
6JCL210,0,1,1,0,0,0,0,0,0,0
7JCL210,0,1,1,0,0,0,0,0,0,0
9JCL210,0,1,0,0,0,0,0,0,0,0
