ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
10nipoe303,0,1,1,1,1,1,1,1,1,1
11cjpoe303,0,1,1,1,1,1,1,1,1,1
12skpoe303,0,1,1,1,1,1,1,1,1,1
13ampoe303,0,1,1,1,1,1,1,1,1,1
14ampoe303,0,1,1,1,1,1,1,1,1,0
15bmpoe303,0,1,1,1,0,0,1,0,0,1
16mnpoe303,0,1,1,1,1,1,1,1,1,1
17znpoe303,0,1,1,1,1,1,1,1,1,1
18eopoe303,0,1,1,1,1,1,1,1,1,1
19zppoe303,0,1,1,0,0,0,0,0,0,0
1oapoe303,0,1,1,1,1,1,1,1,1,0
20aspoe303,0,1,1,1,1,1,1,1,1,1
21nspoe303,0,1,1,1,1,1,1,1,1,1
22lspoe303,0,1,1,1,1,1,1,1,1,1
23bspoe303,0,1,1,1,1,0,1,1,0,1
24nspoe303,0,1,1,1,1,1,1,1,1,1
25atpoe303,0,1,1,1,1,1,1,1,1,0
26ctpoe303,0,1,1,1,1,1,1,1,1,1
27awpoe303,0,1,1,1,1,0,0,0,0,0
28mwpoe303,0,1,1,1,1,1,1,1,1,1
29awpoe303,0,1,1,1,1,1,1,1,1,1
2bbpoe303,0,1,1,1,1,1,1,1,1,1
30mwpoe303,0,0,1,1,1,0,1,1,0,0
3sbpoe303,0,1,1,1,1,1,1,1,1,1
4mcpoe303,0,1,1,1,0,0,1,0,0,0
5mcpoe303,0,1,1,1,1,1,1,1,1,1
6mcpoe303,0,1,1,1,1,1,1,1,1,0
7jepoe303,0,1,1,1,1,1,1,1,1,0
8bgpoe303,0,1,1,1,0,0,1,0,0,0
9tgpoe303,0,1,1,1,1,1,1,1,1,1
