ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
RC7A10,0,1,1,0,0,0,0,0,0,0
RC7A11,0,1,1,1,1,0,1,1,0,1
RC7A12,0,1,1,0,0,0,0,0,0,0
RC7A13,0,1,1,0,0,0,0,0,0,0
RC7A14,0,1,1,1,1,0,1,1,0,0
RC7A15,0,1,1,0,0,0,0,0,0,0
RC7A16,0,1,1,0,0,0,0,0,0,0
RC7A17,0,1,1,0,0,0,0,0,0,0
RC7A18,0,1,1,1,1,1,1,1,1,1
RC7A2,0,1,0,0,0,0,0,0,0,0
RC7A20,0,1,1,1,1,1,1,1,1,0
RC7A21,0,1,1,0,0,0,0,0,0,0
RC7A22,0,1,1,1,0,0,1,0,0,0
RC7A23,0,1,1,1,1,1,1,1,1,1
RC7A24,0,1,1,1,0,0,1,0,0,0
RC7A25,0,1,1,0,0,0,0,0,0,0
RC7A26,0,1,0,0,0,0,0,0,0,0
RC7A27,0,1,1,0,0,0,0,0,0,0
RC7A28,0,1,1,0,0,0,0,0,0,0
RC7A3,0,1,0,0,0,0,0,0,0,0
RC7A30,0,1,1,1,1,0,1,1,0,1
RC7A31,0,1,1,1,1,0,1,1,0,1
RC7A32,0,1,1,0,0,0,0,0,0,0
RC7A4,0,1,1,1,1,1,1,1,1,1
RC7A6,0,1,1,1,1,1,1,1,1,1
RC7A7,0,1,0,0,0,0,0,0,0,0
RC7A8,0,1,0,0,0,0,0,0,0,0
RC7A9,0,1,1,0,0,0,0,0,0,1
