ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
115H1,0,1,1,1,1,1,1,1,1,1
115H10,0,1,1,1,1,1,1,1,1,1
115H11,0,1,1,0,0,0,0,0,0,0
115H12,0,1,1,1,1,1,1,1,1,0
115H15,0,1,1,1,1,1,1,1,1,0
115H16,0,1,1,1,1,1,1,1,1,1
115H17,0,1,1,1,1,1,1,1,1,0
115H18,0,1,0,1,1,0,1,1,0,0
115H2,0,1,1,1,1,1,1,1,1,1
115H21,0,1,1,1,1,1,1,1,1,1
115H23,0,1,1,1,1,1,1,1,1,1
115H24,0,1,1,0,0,0,0,0,0,1
115H25,0,1,1,1,1,1,1,1,1,0
115H26,0,1,1,1,1,1,1,1,1,1
115H27,0,1,1,1,1,1,1,1,1,1
115H28,0,1,1,1,1,1,1,1,1,1
115H3,0,1,1,0,0,0,0,0,0,0
115H4,0,1,1,1,1,1,1,1,1,0
115H5,0,1,1,1,1,1,1,1,1,1
115H6,0,1,1,1,1,1,1,1,1,1
115H7,0,1,1,1,1,1,1,1,1,1
115H8,0,1,1,0,0,0,0,0,0,0
115H9,0,1,1,1,1,1,1,1,1,0
