tID,Grade (rounded down for mixed grades: i.e. 7/8),scratch-basics-L1,scratch-basics-L2,events-L1,events-L2,animation-L1,animation-L2,cond-loops-L1,cond-loops-L2
A,7,https://scratch.mit.edu/studios/19849284,,https://scratch.mit.edu/studios/19850319,https://scratch.mit.edu/studios/20135535/,https://scratch.mit.edu/studios/20135793/,https://scratch.mit.edu/studios/20140106/,https://scratch.mit.edu/studios/20142200/,https://scratch.mit.edu/studios/20143901/
B,7,https://scratch.mit.edu/studios/18596078,https://scratch.mit.edu/studios/18597343,https://scratch.mit.edu/studios/18598010,https://scratch.mit.edu/studios/18596059,https://scratch.mit.edu/studios/18403432/,https://scratch.mit.edu/studios/18403415/,https://scratch.mit.edu/studios/18404581/,https://scratch.mit.edu/studios/18405128/
B,7,https://scratch.mit.edu/studios/18601782,https://scratch.mit.edu/studios/18602825,https://scratch.mit.edu/studios/18604396,https://scratch.mit.edu/studios/18604870,https://scratch.mit.edu/studios/18605729,https://scratch.mit.edu/studios/18607854,https://scratch.mit.edu/studios/18608976,https://scratch.mit.edu/studios/18609572
C,5,https://scratch.mit.edu/studios/18409520/,https://scratch.mit.edu/studios/18405108/,https://scratch.mit.edu/studios/18405470/,,https://scratch.mit.edu/studios/18438402,https://scratch.mit.edu/studios/18439663,https://scratch.mit.edu/studios/18445765,https://scratch.mit.edu/studios/18445922
D,8,https://scratch.mit.edu/studios/18266964,https://scratch.mit.edu/studios/18268179,https://scratch.mit.edu/studios/18268610,https://scratch.mit.edu/studios/18268940,https://scratch.mit.edu/studios/18276915,https://scratch.mit.edu/studios/18400379,https://scratch.mit.edu/studios/18400636,https://scratch.mit.edu/studios/18401200
D,6,https://scratch.mit.edu/studios/18404038,https://scratch.mit.edu/studios/18404274,https://scratch.mit.edu/studios/18404603,https://scratch.mit.edu/studios/18404783,https://scratch.mit.edu/studios/18411246,https://scratch.mit.edu/studios/18411516,https://scratch.mit.edu/studios/18411847,https://scratch.mit.edu/studios/18422182
D,7,https://scratch.mit.edu/studios/18428313,https://scratch.mit.edu/studios/18428701,https://scratch.mit.edu/studios/18429044,,https://scratch.mit.edu/studios/18429389,https://scratch.mit.edu/studios/18429685,https://scratch.mit.edu/studios/18431151,https://scratch.mit.edu/studios/18432668
E,4,https://scratch.mit.edu/studios/18444882,https://scratch.mit.edu/studios/18445058,https://scratch.mit.edu/studios/18445271,https://scratch.mit.edu/studios/18445469,https://scratch.mit.edu/studios/18606716,https://scratch.mit.edu/studios/18607820,,
E,5,https://scratch.mit.edu/studios/20147863/,https://scratch.mit.edu/studios/20149573/,https://scratch.mit.edu/studios/18611553,https://scratch.mit.edu/studios/18612166,https://scratch.mit.edu/studios/18612630,https://scratch.mit.edu/studios/18613583,https://scratch.mit.edu/studios/18637284,https://scratch.mit.edu/studios/18637686
F,6,https://scratch.mit.edu/studios/18631330,https://scratch.mit.edu/studios/18631888,https://scratch.mit.edu/studios/18634925,https://scratch.mit.edu/studios/18635472,https://scratch.mit.edu/studios/18636631,https://scratch.mit.edu/studios/18637934,https://scratch.mit.edu/studios/18639455,https://scratch.mit.edu/studios/18639834
