ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
24pandacorn24,0,1,1,1,0,1,0
2oo1sgr8,0,1,1,1,0,1,0
adastra28,0,1,1,1,1,1,0
basketballfan1000,0,1,1,1,0,1,0
birds605,0,1,1,1,1,1,1
blaze703570,0,1,1,1,0,1,1
catsareawesome789,0,1,1,1,0,1,0
christmas3000,0,1,1,1,1,1,1
clover7777,0,1,1,1,1,1,1
dolphin7600,0,1,1,1,0,1,0
flyingunicorn2468,0,1,1,1,0,1,0
influxmaster21,0,1,1,1,0,1,0
kingasparta35,0,1,1,1,1,1,0
kittyqueen231,0,1,1,1,1,1,0
luckystargirl09,0,1,1,1,0,1,0
panda48000,0,1,1,1,0,1,0
penguin88835,0,1,1,1,1,1,1
redbirdmoney3,0,1,1,1,0,1,0
redhero59,0,1,1,1,1,1,0
schoolno3411,0,1,1,0,0,0,0
shark730,0,1,1,1,1,1,0
tigergirl1156,0,1,1,1,0,1,0
turtleshavetails123,0,1,1,1,0,1,1
unicorn5087,0,1,1,1,1,1,1
