ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
13JCL220,0,1,1,1,0,1,0
14JCL220,0,1,1,1,1,1,0
15JCL220,0,1,0,1,1,1,0
16JCL220,0,1,0,1,1,1,1
17JCL220,0,0,1,1,0,1,0
18JCL220,0,1,1,1,0,1,0
19JCL220,0,1,1,1,1,1,1
20JCL220,0,1,1,1,1,1,1
21JCL220,0,1,1,1,1,0,0
23JCL220,0,1,1,1,0,1,1
24JCL220,0,1,1,1,1,1,0
25JCL220,0,1,1,1,0,1,0
26JCL220,0,1,1,1,0,1,1
27JCL220,0,1,1,1,0,1,0
28JCL220,0,1,1,1,0,1,0
29JCL220,0,1,1,0,0,0,0
30JCL220,0,1,1,1,0,1,0
31JCL220,0,1,1,1,1,1,1
32JC220,0,1,1,1,0,1,0
33JCL220,0,1,1,1,1,1,0
34JCL220,0,1,1,1,0,1,0
5JCL220,0,1,1,1,1,1,1
7JCL220,0,1,1,1,0,1,0
8JCL220,0,1,1,1,0,1,0
9JCL220,0,1,1,1,1,1,1
